Input,Output
Football Helmet,Baseball Cap
Baseball Cap,Football Helmet
Tennis Racket,Hockey Stick
Hockey Stick,Tennis Racket
Soccer Shin Guards,Football Shoulder Pads
Football Shoulder Pads,Soccer Shin Guards
"Soccer Jersey, Soccer Ball, Soccer Cleats, Goalie Gloves",Soccer Goal Post
"Soccer Jersey, Soccer Ball, Soccer Cleats, Soccer Goal Post",Goalie Gloves
"Soccer Jersey, Soccer Ball, Soccer Goal Post, Goalie Gloves",Soccer Cleats
"Soccer Jersey, Soccer Goal Post, Soccer Cleats, Goalie Gloves",Soccer Ball
"Soccer Goal Post, Soccer Ball, Soccer Cleats, Goalie Gloves",Soccer Jersey
"Basketball Jersey, Basketball, Basketball Shoes",Basketball Arm Sleeve
"Basketball Jersey, Basketball, Basketball Arm Sleeve",Basketball Shoes
"Basketball Jersey, Basketball Arm Sleeve, Basketball Shoes",Basketball
"Basketball Arm Sleeve, Basketball, Basketball Shoes",Basketball Jersey
